package,license,coverage
xkbcommon_jll,MIT,67.07317073170732
AxisAlgorithms,MIT,93.82022471910112
TableTraits,MIT,93.85474860335195
Widgets,MIT,93.82022471910112
IrrationalConstants,MIT,98.81656804733728
MUMPS_seq_jll,MIT,66.93548387096774
Latexify,MIT,98.81656804733728
Clustering,MIT,95.53072625698324
LicenseGrabber,MIT,98.81656804733728
RecipesBase,MIT,93.82022471910112
HarfBuzz_jll,MIT,67.07317073170732
Xorg_libxcb_jll,MIT,66.80161943319838
AbstractFFTs,MIT,97.75280898876404
Opus_jll,MIT,67.07317073170732
FixedPointNumbers,MIT,93.92265193370166
PooledArrays,MIT,97.94871794871794
FuzzyCompletions,MIT,100.0
MsgPack,MIT,93.98907103825137
ExproniconLite,MIT,98.85714285714286
Gettext_jll,MIT,67.07317073170732
Xorg_xcb_util_keysyms_jll,MIT,66.4
MKL_jll,MIT,67.07317073170732
Libiconv_jll,MIT,67.07317073170732
ASL_jll,MIT,67.20647773279352
Wayland_protocols_jll,MIT,66.80161943319838
FFTW_jll,MIT,67.07317073170732
FFMPEG_jll,MIT,67.20647773279352
RecipesPipeline,MIT,100.0
StatsBase,MIT,95.78947368421052
libass_jll,MIT,67.07317073170732
Ogg_jll,MIT,67.07317073170732
Libuuid_jll,MIT,67.07317073170732
Chain,MIT,98.81656804733728
Parsers,MIT,97.67441860465117
SentinelArrays,MIT,98.82352941176471
Xorg_libXrender_jll,MIT,66.80161943319838
NearestNeighbors,MIT,93.82022471910112
x264_jll,MIT,67.07317073170732
libvorbis_jll,MIT,67.07317073170732
Grisu,MIT,98.84393063583815
StatsAPI,MIT,93.82022471910112
CodecBzip2,MIT,93.82022471910112
Glib_jll,MIT,67.07317073170732
Colors,MIT,95.58011049723757
MacroTools,MIT,93.92265193370166
FilePathsBase,MIT,93.82022471910112
DataValues,MIT,93.85474860335195
FillArrays,MIT,98.81656804733728
Xorg_libXdmcp_jll,MIT,66.80161943319838
Arpack,MIT,100.0
OrderedCollections,MIT,100.0
FreeType2_jll,MIT,67.07317073170732
Xorg_libxkbfile_jll,MIT,66.80161943319838
licensecheck_jll,MIT,67.20647773279352
DataStructures,MIT,100.0
Compat,MIT,94.02173913043478
Graphite2_jll,MIT,67.07317073170732
Expat_jll,MIT,67.07317073170732
Adapt,MIT,93.95604395604396
Zstd_jll,MIT,67.07317073170732
Showoff,MIT,93.98907103825137
OpenBLAS32_jll,MIT,67.20647773279352
FriBidi_jll,MIT,67.07317073170732
Configurations,MIT,98.85714285714286
GLFW_jll,MIT,67.07317073170732
TableIOInterface,MIT,98.85714285714286
ColorTypes,MIT,93.95604395604396
OpenSSL_jll,MIT,67.07317073170732
Xorg_libXext_jll,MIT,66.80161943319838
Contour,MIT,93.92265193370166
URIs,MIT,94.27083333333333
StructArrays,MIT,93.82022471910112
BenchmarkTools,MIT,93.82022471910112
BenchmarkTools,MIT,93.82022471910112
StatsPlots,MIT,93.82022471910112
SortingAlgorithms,MIT,93.98907103825137
Xorg_xtrans_jll,MIT,66.80161943319838
PCRE_jll,MIT,67.07317073170732
PlotUtils,MIT,44.21669106881406
PlotUtils,CC0-1.0,44.21669106881406
PlotUtils,Apache-2.0,44.21669106881406
WoodburyMatrices,MIT,93.85474860335195
JSON,MIT,94.73684210526316
x265_jll,MIT,67.07317073170732
XML2_jll,MIT,67.07317073170732
Plots,MIT,93.82022471910112
Fontconfig_jll,MIT,67.07317073170732
BinaryProvider,MIT,93.78531073446328
Ipopt_jll,MIT,67.20647773279352
DataValueInterfaces,MIT,93.92265193370166
Arpack_jll,MIT,100.0
MutableArithmetics,MPL-2.0,100.0
InvertedIndices,MIT,93.82022471910112
Wayland_jll,MIT,67.07317073170732
IteratorInterfaceExtensions,MIT,93.85474860335195
JULIA,MIT,36.693548387096776
CEnum,MIT,100.0
libfdk_aac_jll,MIT,66.80161943319838
MathProgBase,MIT,94.41340782122904
DataFrames,MIT,95.76719576719577
SpecialFunctions,MIT,97.84946236559139
Requires,MIT,93.92265193370166
Xorg_libXau_jll,MIT,66.80161943319838
LogExpFunctions,MIT,93.15789473684211
Distributions,MIT,89.52380952380952
OpenSpecFun_jll,MIT,67.07317073170732
Cairo_jll,MIT,67.07317073170732
EarCut_jll,MIT,67.20647773279352
Missings,MIT,93.78531073446328
FFMPEG,MIT,100.0
Xorg_xcb_util_renderutil_jll,MIT,66.4
PlotThemes,MIT,93.85474860335195
Libffi_jll,MIT,67.07317073170732
PDMats,MIT,93.92265193370166
Libgpg_error_jll,MIT,66.80161943319838
Qt5Base_jll,MIT,67.20647773279352
Xorg_xkeyboard_config_jll,MIT,66.53225806451613
DocStringExtensions,MIT,93.82022471910112
StaticArrays,MIT,83.5
XSLT_jll,MIT,67.07317073170732
Xorg_libXinerama_jll,MIT,66.80161943319838
MathOptInterface,MIT,94.02173913043478
NaNMath,MIT,93.82022471910112
Observables,MIT,93.82022471910112
InlineStrings,MIT,93.92265193370166
Xorg_xcb_util_image_jll,MIT,66.4
Rmath,MIT,83.00970873786407
Interpolations,MIT,93.88888888888889
Pixman_jll,MIT,67.07317073170732
TableOperations,MIT,93.82022471910112
Xorg_xkbcomp_jll,MIT,66.80161943319838
Ipopt,MIT,93.92265193370166
LaTeXStrings,MIT,100.0
MultivariateStats,MIT,93.95604395604396
Bzip2_jll,MIT,67.07317073170732
LicenseCheck,MIT,98.82352941176471
LicenseCheck,MIT,98.82352941176471
libpng_jll,MIT,67.07317073170732
ChainRulesCore,MIT,94.21052631578948
FFTW,MIT,97.74011299435028
IOCapture,MIT,98.85714285714286
OffsetArrays,MIT,93.82022471910112
HTTP,MIT,89.85507246376811
OpenDSSDirect,MIT,27.331189710610932
OpenDSSDirect,MIT,27.331189710610932
Libgcrypt_jll,MIT,67.07317073170732
Measures,MIT,94.02173913043478
GR_jll,MIT,67.20647773279352
StatsFuns,MIT,93.82022471910112
Xorg_libpthread_stubs_jll,MIT,66.53225806451613
TranscodingStreams,MIT,93.82022471910112
Libglvnd_jll,MIT,67.07317073170732
GR,MIT,77.02127659574468
Xorg_libXcursor_jll,MIT,66.80161943319838
Xorg_libXfixes_jll,MIT,66.80161943319838
Formatting,MIT,93.88888888888889
CodecZlib,MIT,93.82022471910112
JLLWrappers,MIT,100.0
JLLWrappers,MIT,67.07317073170732
JLLWrappers,MIT,67.20647773279352
JLLWrappers,MIT,66.93548387096774
KernelDensity,MIT,93.82022471910112
Xorg_libXrandr_jll,MIT,66.80161943319838
MbedTLS,MIT,60.283687943262414
MbedTLS,Apache-2.0,60.283687943262414
GeometryBasics,MIT,100.0
PrettyTables,MIT,93.92265193370166
LAME_jll,MIT,67.07317073170732
CSV,MIT,93.95604395604396
PlutoUI,Unlicense,100.0
IntelOpenMP_jll,MIT,67.20647773279352
ColorSchemes,MIT,71.42857142857143
ColorSchemes,CC0-1.0,71.42857142857143
ColorSchemes,Apache-2.0,71.42857142857143
ColorSchemes,MIT,71.42857142857143
WeakRefStrings,MIT,93.82022471910112
Xorg_xcb_util_jll,MIT,66.66666666666667
DataFramesMeta,MIT,95.65217391304348
Xorg_xcb_util_wm_jll,MIT,66.4
Distances,MIT,93.82022471910112
Xorg_libX11_jll,MIT,66.80161943319838
Rmath_jll,MIT,67.20647773279352
Preferences,MIT,93.88888888888889
Pluto,MIT,98.83040935672514
Pluto,Unlicense,100.0
QuadGK,MIT,97.71428571428571
DataAPI,MIT,93.82022471910112
Reexport,MIT,93.82022471910112
IterTools,MIT,95.85492227979275
JpegTurbo_jll,MIT,67.07317073170732
IniFile,MIT,94.14893617021276
Libtiff_jll,MIT,67.07317073170732
Tables,MIT,98.81656804733728
Scratch,MIT,98.84393063583815
METIS_jll,MIT,67.20647773279352
Crayons,MIT,93.82022471910112
Ratios,MIT,93.82022471910112
LZO_jll,MIT,67.07317073170732
HypertextLiteral,ISC,100.0
Xorg_libXi_jll,MIT,66.80161943319838
