,Bus1,Bus2,C0,C1,CMatrix,EmergAmps,Geometry,Length,LineCode,Name,NormAmps,NumCust,Parent,Phases,R0,R1,Rg,Rho,RMatrix,Spacing,TotalCust,Units,X0,X1,Xg,XMatrix,Yprim,Idx,IsSwitch,SeasonRating
line_75607441_3102384_3097596,3097596.1.2.3,3102384.1.2.3,0.00010000000000000002,0.00010000000000000002,"[0.0001, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0001]",600.0,,0.019399999618530273,3p_code4,line_75607441_3102384_3097596,400.0,0,0,3,1e-05,0.164,0.01805,100.0,"[0.10933666666666667, -0.05466333333333333, -0.05466333333333333, -0.05466333333333333, 0.10933666666666667, -0.05466333333333333, -0.05466333333333333, -0.05466333333333333, 0.10933666666666667]",,0,3,1e-05,0.062,0.155081,"[0.04133666666666666, -0.020663333333333332, -0.020663333333333332, -0.020663333333333332, 0.04133666666666666, -0.020663333333333332, -0.020663333333333332, -0.020663333333333332, 0.04133666666666666]","[1251.9657130744206, 660.4285196434281, 991.3041677784703, 778.6798548264685, 991.3041677784703, 778.6798548264686, -1251.9657130744206, -660.4285196434278, -991.3041677784703, -778.6798548264685, -991.3041677784703, -778.6798548264686, 991.3041677784703, 778.6798548264685, 1251.9657130744201, 660.4285196434283, 991.30416777847, 778.6798548264687, -991.3041677784703, -778.6798548264685, -1251.9657130744201, -660.428519643428, -991.30416777847, -778.6798548264687, 991.3041677784703, 778.6798548264686, 991.30416777847, 778.6798548264687, 1251.9657130744201, 660.4285196434283, -991.3041677784703, -778.6798548264686, -991.30416777847, -778.6798548264687, -1251.9657130744201, -660.428519643428, -1251.9657130744206, -660.4285196434278, -991.3041677784703, -778.6798548264685, -991.3041677784703, -778.6798548264686, 1251.9657130744206, 660.4285196434281, 991.3041677784703, 778.6798548264685, 991.3041677784703, 778.6798548264686, -991.3041677784703, -778.6798548264685, -1251.9657130744201, -660.428519643428, -991.30416777847, -778.6798548264687, 991.3041677784703, 778.6798548264685, 1251.9657130744201, 660.4285196434283, 991.30416777847, 778.6798548264687, -991.3041677784703, -778.6798548264686, -991.30416777847, -778.6798548264687, -1251.9657130744201, -660.428519643428, 991.3041677784703, 778.6798548264686, 991.30416777847, 778.6798548264687, 1251.9657130744201, 660.4285196434283]",1,False,400.0
line_75607729_3097838_3097174,3097174.1.2.3,3097838.1.2.3,0.00010000000000000002,0.00010000000000000002,"[0.0001, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0001]",600.0,,0.03520000076293946,3p_oh_code2,line_75607729_3097838_3097174,400.0,0,0,3,1e-05,0.3751,0.01805,100.0,"[0.25006999999999996, -0.12502999999999997, -0.12502999999999997, -0.12502999999999997, 0.25006999999999996, -0.12502999999999997, -0.12502999999999997, -0.12502999999999997, 0.25006999999999996]",,0,3,1e-05,0.3601,0.155081,"[0.24006999999999995, -0.12002999999999998, -0.12002999999999998, -0.12002999999999998, 0.24006999999999995, -0.12002999999999998, -0.12002999999999998, -0.12002999999999998, 0.24006999999999995]","[615.9273362059421, 382.43945547226804, 583.3819845883713, 419.93211700515104, 583.3819845883712, 419.9321170051511, -615.9273362059421, -382.43945547226735, -583.3819845883713, -419.93211700515104, -583.3819845883712, -419.9321170051511, 583.3819845883713, 419.93211700515104, 615.9273362059419, 382.43945547226815, 583.3819845883712, 419.9321170051511, -583.3819845883713, -419.93211700515104, -615.9273362059419, -382.43945547226747, -583.3819845883712, -419.9321170051511, 583.3819845883712, 419.9321170051511, 583.3819845883712, 419.9321170051511, 615.927336205942, 382.4394554722682, -583.3819845883712, -419.9321170051511, -583.3819845883712, -419.9321170051511, -615.927336205942, -382.4394554722675, -615.9273362059421, -382.43945547226735, -583.3819845883713, -419.93211700515104, -583.3819845883712, -419.9321170051511, 615.9273362059421, 382.43945547226804, 583.3819845883713, 419.93211700515104, 583.3819845883712, 419.9321170051511, -583.3819845883713, -419.93211700515104, -615.9273362059419, -382.43945547226747, -583.3819845883712, -419.9321170051511, 583.3819845883713, 419.93211700515104, 615.9273362059419, 382.43945547226815, 583.3819845883712, 419.9321170051511, -583.3819845883712, -419.9321170051511, -583.3819845883712, -419.9321170051511, -615.927336205942, -382.4394554722675, 583.3819845883712, 419.9321170051511, 583.3819845883712, 419.9321170051511, 615.927336205942, 382.4394554722682]",2,False,400.0
line_75607741_3097449_3097186,3097186.1.2.3,3097449.1.2.3,0.00010000000000000002,0.00010000000000000002,"[0.0001, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0001]",600.0,,0.014800000190734864,3p_code1,line_75607741_3097449_3097186,400.0,0,0,3,1e-05,1.247,0.01805,100.0,"[0.8313366666666667, -0.41566333333333333, -0.41566333333333333, -0.41566333333333333, 0.8313366666666667, -0.41566333333333333, -0.41566333333333333, -0.41566333333333333, 0.8313366666666667]",,0,3,1e-05,0.2494,0.155081,"[0.16627, -0.08313, -0.08313, -0.08313, 0.16627, -0.08313, -0.08313, -0.08313, 0.16627]","[1447.4602113234478, 960.8362728871037, 1396.2271409888422, 973.1322097674089, 1396.2271409888422, 973.132209767409, -1447.4602113234478, -960.8362728871035, -1396.2271409888422, -973.1322097674089, -1396.2271409888422, -973.132209767409, 1396.2271409888422, 973.1322097674089, 1447.4602113234482, 960.8362728871039, 1396.2271409888422, 973.132209767409, -1396.2271409888422, -973.1322097674089, -1447.4602113234482, -960.8362728871036, -1396.2271409888422, -973.132209767409, 1396.2271409888422, 973.132209767409, 1396.2271409888422, 973.132209767409, 1447.4602113234482, 960.836272887104, -1396.2271409888422, -973.132209767409, -1396.2271409888422, -973.132209767409, -1447.4602113234482, -960.8362728871037, -1447.4602113234478, -960.8362728871035, -1396.2271409888422, -973.1322097674089, -1396.2271409888422, -973.132209767409, 1447.4602113234478, 960.8362728871037, 1396.2271409888422, 973.1322097674089, 1396.2271409888422, 973.132209767409, -1396.2271409888422, -973.1322097674089, -1447.4602113234482, -960.8362728871036, -1396.2271409888422, -973.132209767409, 1396.2271409888422, 973.1322097674089, 1447.4602113234482, 960.8362728871039, 1396.2271409888422, 973.132209767409, -1396.2271409888422, -973.132209767409, -1396.2271409888422, -973.132209767409, -1447.4602113234482, -960.8362728871037, 1396.2271409888422, 973.132209767409, 1396.2271409888422, 973.132209767409, 1447.4602113234482, 960.836272887104]",3,False,400.0
line_75607742_3097449_3097187,3097187.1.2.3,3097449.1.2.3,0.00010000000000000002,0.00010000000000000002,"[0.0001, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0001]",600.0,,0.03390000152587891,3p_oh_code7,line_75607742_3097449_3097187,400.0,0,0,3,1e-05,0.4517,0.01805,100.0,"[0.3011366666666666, -0.15056333333333333, -0.15056333333333333, -0.15056333333333333, 0.3011366666666666, -0.15056333333333333, -0.15056333333333333, -0.15056333333333333, 0.3011366666666666]",,0,3,1e-05,0.3666,0.155081,"[0.2444033333333333, -0.12219666666666665, -0.12219666666666665, -0.12219666666666665, 0.2444033333333333, -0.12219666666666665, -0.12219666666666665, -0.12219666666666665, 0.2444033333333333]","[639.3616471838851, 401.2979641349638, 605.8462042114818, 433.9393492853279, 605.8462042114818, 433.9393492853279, -639.3616471838851, -401.2979641349632, -605.8462042114818, -433.9393492853279, -605.8462042114818, -433.9393492853279, 605.8462042114818, 433.9393492853279, 639.3616471838852, 401.29796413496393, 605.8462042114818, 433.9393492853279, -605.8462042114818, -433.9393492853279, -639.3616471838852, -401.2979641349633, -605.8462042114818, -433.9393492853279, 605.8462042114818, 433.9393492853279, 605.8462042114818, 433.9393492853279, 639.3616471838852, 401.29796413496393, -605.8462042114818, -433.9393492853279, -605.8462042114818, -433.9393492853279, -639.3616471838852, -401.2979641349633, -639.3616471838851, -401.2979641349632, -605.8462042114818, -433.9393492853279, -605.8462042114818, -433.9393492853279, 639.3616471838851, 401.2979641349638, 605.8462042114818, 433.9393492853279, 605.8462042114818, 433.9393492853279, -605.8462042114818, -433.9393492853279, -639.3616471838852, -401.2979641349633, -605.8462042114818, -433.9393492853279, 605.8462042114818, 433.9393492853279, 639.3616471838852, 401.29796413496393, 605.8462042114818, 433.9393492853279, -605.8462042114818, -433.9393492853279, -605.8462042114818, -433.9393492853279, -639.3616471838852, -401.2979641349633, 605.8462042114818, 433.9393492853279, 605.8462042114818, 433.9393492853279, 639.3616471838852, 401.29796413496393]",4,False,400.0
line_75607744_3097759_3097189,3097189.1.2.3,3097759.1.2.3,0.00010000000000000002,0.00010000000000000002,"[0.0001, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0001]",600.0,,0.0350999984741211,3p_oh_code2,line_75607744_3097759_3097189,400.0,0,0,3,1e-05,0.3751,0.01805,100.0,"[0.25006999999999996, -0.12502999999999997, -0.12502999999999997, -0.12502999999999997, 0.25006999999999996, -0.12502999999999997, -0.12502999999999997, -0.12502999999999997, 0.25006999999999996]",,0,3,1e-05,0.3601,0.155081,"[0.24006999999999995, -0.12002999999999998, -0.12002999999999998, -0.12002999999999998, 0.24006999999999995, -0.12002999999999998, -0.12002999999999998, -0.12002999999999998, 0.24006999999999995]","[617.6821551815577, 383.52905155614934, 585.0440796382422, 421.1285322380401, 585.0440796382421, 421.12853223804007, -617.6821551815577, -383.52905155614866, -585.0440796382422, -421.1285322380401, -585.0440796382421, -421.12853223804007, 585.0440796382422, 421.1285322380401, 617.6821551815577, 383.52905155614934, 585.0440796382421, 421.12853223804007, -585.0440796382422, -421.1285322380401, -617.6821551815577, -383.52905155614866, -585.0440796382421, -421.12853223804007, 585.0440796382421, 421.12853223804007, 585.0440796382421, 421.12853223804007, 617.6821551815576, 383.5290515561492, -585.0440796382421, -421.12853223804007, -585.0440796382421, -421.12853223804007, -617.6821551815576, -383.52905155614854, -617.6821551815577, -383.52905155614866, -585.0440796382422, -421.1285322380401, -585.0440796382421, -421.12853223804007, 617.6821551815577, 383.52905155614934, 585.0440796382422, 421.1285322380401, 585.0440796382421, 421.12853223804007, -585.0440796382422, -421.1285322380401, -617.6821551815577, -383.52905155614866, -585.0440796382421, -421.12853223804007, 585.0440796382422, 421.1285322380401, 617.6821551815577, 383.52905155614934, 585.0440796382421, 421.12853223804007, -585.0440796382421, -421.12853223804007, -585.0440796382421, -421.12853223804007, -617.6821551815576, -383.52905155614854, 585.0440796382421, 421.12853223804007, 585.0440796382421, 421.12853223804007, 617.6821551815576, 383.5290515561492]",5,False,400.0
line_75607745_3097210_3097190,3097190.1.2.3,3097210.1.2.3,0.00010000000000000002,0.00010000000000000002,"[0.0001, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0001]",600.0,,0.02,3p_oh_code2,line_75607745_3097210_3097190,400.0,0,0,3,1e-05,0.3751,0.01805,100.0,"[0.25006999999999996, -0.12502999999999997, -0.12502999999999997, -0.12502999999999997, 0.25006999999999996, -0.12502999999999997, -0.12502999999999997, -0.12502999999999997, 0.25006999999999996]",,0,3,1e-05,0.3601,0.155081,"[0.24006999999999995, -0.12002999999999998, -0.12002999999999998, -0.12002999999999998, 0.24006999999999995, -0.12002999999999998, -0.12002999999999998, -0.12002999999999998, 0.24006999999999995]","[1084.0321352182252, 673.0934562201038, 1026.752315129794, 739.0805419482102, 1026.752315129794, 739.0805419482102, -1084.0321352182252, -673.0934562201035, -1026.752315129794, -739.0805419482102, -1026.752315129794, -739.0805419482102, 1026.752315129794, 739.0805419482102, 1084.032135218225, 673.0934562201035, 1026.752315129794, 739.0805419482101, -1026.752315129794, -739.0805419482102, -1084.032135218225, -673.0934562201031, -1026.752315129794, -739.0805419482101, 1026.752315129794, 739.0805419482102, 1026.752315129794, 739.0805419482101, 1084.032135218225, 673.0934562201037, -1026.752315129794, -739.0805419482102, -1026.752315129794, -739.0805419482101, -1084.032135218225, -673.0934562201033, -1084.0321352182252, -673.0934562201035, -1026.752315129794, -739.0805419482102, -1026.752315129794, -739.0805419482102, 1084.0321352182252, 673.0934562201038, 1026.752315129794, 739.0805419482102, 1026.752315129794, 739.0805419482102, -1026.752315129794, -739.0805419482102, -1084.032135218225, -673.0934562201031, -1026.752315129794, -739.0805419482101, 1026.752315129794, 739.0805419482102, 1084.032135218225, 673.0934562201035, 1026.752315129794, 739.0805419482101, -1026.752315129794, -739.0805419482102, -1026.752315129794, -739.0805419482101, -1084.032135218225, -673.0934562201033, 1026.752315129794, 739.0805419482102, 1026.752315129794, 739.0805419482101, 1084.032135218225, 673.0934562201037]",6,False,400.0
line_75607765_3097174_3097210,3097210.1.2.3,3097174.1.2.3,0.00010000000000000002,0.00010000000000000002,"[0.0001, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0001]",600.0,,0.0325,3p_oh_code2,line_75607765_3097174_3097210,400.0,0,0,3,1e-05,0.3751,0.01805,100.0,"[0.25006999999999996, -0.12502999999999997, -0.12502999999999997, -0.12502999999999997, 0.25006999999999996, -0.12502999999999997, -0.12502999999999997, -0.12502999999999997, 0.25006999999999996]",,0,3,1e-05,0.3601,0.155081,"[0.24006999999999995, -0.12002999999999998, -0.12002999999999998, -0.12002999999999998, 0.24006999999999995, -0.12002999999999998, -0.12002999999999998, -0.12002999999999998, 0.24006999999999995]","[667.09669859583, 414.21135767390786, 631.8475785414108, 454.8187950450498, 631.8475785414108, 454.81879504504974, -667.09669859583, -414.21135767390723, -631.8475785414108, -454.8187950450498, -631.8475785414108, -454.81879504504974, 631.8475785414108, 454.8187950450498, 667.0966985958299, 414.21135767390774, 631.8475785414108, 454.8187950450497, -631.8475785414108, -454.8187950450498, -667.0966985958299, -414.2113576739071, -631.8475785414108, -454.8187950450497, 631.8475785414108, 454.81879504504974, 631.8475785414108, 454.8187950450497, 667.09669859583, 414.2113576739077, -631.8475785414108, -454.81879504504974, -631.8475785414108, -454.8187950450497, -667.09669859583, -414.21135767390706, -667.09669859583, -414.21135767390723, -631.8475785414108, -454.8187950450498, -631.8475785414108, -454.81879504504974, 667.09669859583, 414.21135767390786, 631.8475785414108, 454.8187950450498, 631.8475785414108, 454.81879504504974, -631.8475785414108, -454.8187950450498, -667.0966985958299, -414.2113576739071, -631.8475785414108, -454.8187950450497, 631.8475785414108, 454.8187950450498, 667.0966985958299, 414.21135767390774, 631.8475785414108, 454.8187950450497, -631.8475785414108, -454.81879504504974, -631.8475785414108, -454.8187950450497, -667.09669859583, -414.21135767390706, 631.8475785414108, 454.81879504504974, 631.8475785414108, 454.8187950450497, 667.09669859583, 414.2113576739077]",7,False,400.0
line_75607872_3097332_3097210,3097210.1.2.3,3097332.1.2.3,0.00010000000000000002,0.00010000000000000002,"[0.0001, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0001]",600.0,,0.031899999618530274,3p_oh_code0,line_75607872_3097332_3097210,400.0,0,0,3,1e-05,0.27,0.01805,100.0,"[0.18000333333333332, -0.08999666666666667, -0.08999666666666667, -0.08999666666666667, 0.18000333333333332, -0.08999666666666667, -0.08999666666666667, -0.08999666666666667, 0.18000333333333332]",,0,3,1e-05,0.3619,0.155081,"[0.24126999999999998, -0.12062999999999999, -0.12062999999999999, -0.12062999999999999, 0.24126999999999998, -0.12062999999999999, -0.12062999999999999, -0.12062999999999999, 0.24126999999999998]","[677.2805915015896, 414.87593442555686, 644.9135609882102, 466.9365048379654, 644.9135609882102, 466.9365048379653, -677.2805915015896, -414.87593442555624, -644.9135609882102, -466.9365048379654, -644.9135609882102, -466.9365048379653, 644.9135609882102, 466.9365048379654, 677.2805915015898, 414.8759344255571, 644.9135609882103, 466.93650483796534, -644.9135609882102, -466.9365048379654, -677.2805915015898, -414.87593442555647, -644.9135609882103, -466.93650483796534, 644.9135609882102, 466.9365048379653, 644.9135609882103, 466.93650483796534, 677.2805915015897, 414.8759344255569, -644.9135609882102, -466.9365048379653, -644.9135609882103, -466.93650483796534, -677.2805915015897, -414.8759344255563, -677.2805915015896, -414.87593442555624, -644.9135609882102, -466.9365048379654, -644.9135609882102, -466.9365048379653, 677.2805915015896, 414.87593442555686, 644.9135609882102, 466.9365048379654, 644.9135609882102, 466.9365048379653, -644.9135609882102, -466.9365048379654, -677.2805915015898, -414.87593442555647, -644.9135609882103, -466.93650483796534, 644.9135609882102, 466.9365048379654, 677.2805915015898, 414.8759344255571, 644.9135609882103, 466.93650483796534, -644.9135609882102, -466.9365048379653, -644.9135609882103, -466.93650483796534, -677.2805915015897, -414.8759344255563, 644.9135609882102, 466.9365048379653, 644.9135609882103, 466.93650483796534, 677.2805915015897, 414.8759344255569]",8,False,400.0
line_75607890_3097408_3097332,3097332.1.2.3,3097408.1.2.3,0.00010000000000000002,0.00010000000000000002,"[0.0001, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0001]",600.0,,0.04090000152587891,3p_oh_code0,line_75607890_3097408_3097332,400.0,0,0,3,1e-05,0.27,0.01805,100.0,"[0.18000333333333332, -0.08999666666666667, -0.08999666666666667, -0.08999666666666667, 0.18000333333333332, -0.08999666666666667, -0.08999666666666667, -0.08999666666666667, 0.18000333333333332]",,0,3,1e-05,0.3619,0.155081,"[0.24126999999999998, -0.12062999999999999, -0.12062999999999999, -0.12062999999999999, 0.24126999999999998, -0.12062999999999999, -0.12062999999999999, -0.12062999999999999, 0.24126999999999998]","[528.2457164914332, 323.58292557858977, 503.0010166745772, 364.18762275067854, 503.00101667457716, 364.18762275067866, -528.2457164914332, -323.58292557858897, -503.0010166745772, -364.18762275067854, -503.00101667457716, -364.18762275067866, 503.0010166745772, 364.18762275067854, 528.2457164914333, 323.5829255785897, 503.00101667457733, 364.1876227506786, -503.0010166745772, -364.18762275067854, -528.2457164914333, -323.5829255785889, -503.00101667457733, -364.1876227506786, 503.00101667457716, 364.18762275067866, 503.00101667457733, 364.1876227506786, 528.2457164914332, 323.5829255785899, -503.00101667457716, -364.18762275067866, -503.00101667457733, -364.1876227506786, -528.2457164914332, -323.5829255785891, -528.2457164914332, -323.58292557858897, -503.0010166745772, -364.18762275067854, -503.00101667457716, -364.18762275067866, 528.2457164914332, 323.58292557858977, 503.0010166745772, 364.18762275067854, 503.00101667457716, 364.18762275067866, -503.0010166745772, -364.18762275067854, -528.2457164914333, -323.5829255785889, -503.00101667457733, -364.1876227506786, 503.0010166745772, 364.18762275067854, 528.2457164914333, 323.5829255785897, 503.00101667457733, 364.1876227506786, -503.00101667457716, -364.18762275067866, -503.00101667457733, -364.1876227506786, -528.2457164914332, -323.5829255785891, 503.00101667457716, 364.18762275067866, 503.00101667457733, 364.1876227506786, 528.2457164914332, 323.5829255785899]",9,False,400.0
line_75607897_3097343_3097338,3097338.1.2.3,3097343.1.2.3,0.00010000000000000002,0.00010000000000000002,"[0.0001, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0001]",600.0,,0.030200000762939452,3p_oh_code2,line_75607897_3097343_3097338,400.0,0,0,3,1e-05,0.3751,0.01805,100.0,"[0.25006999999999996, -0.12502999999999997, -0.12502999999999997, -0.12502999999999997, 0.25006999999999996, -0.12502999999999997, -0.12502999999999997, -0.12502999999999997, 0.25006999999999996]",,0,3,1e-05,0.3601,0.155081,"[0.24006999999999995, -0.12002999999999998, -0.12002999999999998, -0.12002999999999998, 0.24006999999999995, -0.12002999999999998, -0.12002999999999998, -0.12002999999999998, 0.24006999999999995]","[717.9020581671751, 445.7572445137839, 679.9684034377864, 489.457300183374, 679.9684034377863, 489.45730018337395, -717.9020581671751, -445.75724451378335, -679.9684034377864, -489.457300183374, -679.9684034377863, -489.45730018337395, 679.9684034377864, 489.457300183374, 717.9020581671753, 445.7572445137839, 679.9684034377863, 489.4573001833739, -679.9684034377864, -489.457300183374, -717.9020581671753, -445.75724451378335, -679.9684034377863, -489.4573001833739, 679.9684034377863, 489.45730018337395, 679.9684034377863, 489.4573001833739, 717.902058167175, 445.75724451378375, -679.9684034377863, -489.45730018337395, -679.9684034377863, -489.4573001833739, -717.902058167175, -445.7572445137832, -717.9020581671751, -445.75724451378335, -679.9684034377864, -489.457300183374, -679.9684034377863, -489.45730018337395, 717.9020581671751, 445.7572445137839, 679.9684034377864, 489.457300183374, 679.9684034377863, 489.45730018337395, -679.9684034377864, -489.457300183374, -717.9020581671753, -445.75724451378335, -679.9684034377863, -489.4573001833739, 679.9684034377864, 489.457300183374, 717.9020581671753, 445.7572445137839, 679.9684034377863, 489.4573001833739, -679.9684034377863, -489.45730018337395, -679.9684034377863, -489.4573001833739, -717.902058167175, -445.7572445137832, 679.9684034377863, 489.45730018337395, 679.9684034377863, 489.4573001833739, 717.902058167175, 445.75724451378375]",10,False,400.0
