Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"SOURCEBUS_22000", 22, 1,      12701,    0.0,   0.99994, 2,    12700.8, -120.0,   0.99993, 3,    12700.9,  120.0,   0.99994
"3097596", 0.415, 1,    250.203,  -37.0,    1.0443, 2,    248.045, -158.6,    1.0352, 3,    247.528,   82.4,    1.0331
"3102384", 0.415, 1,    250.203,  -37.0,    1.0443, 2,    248.045, -158.6,    1.0352, 3,    247.528,   82.4,    1.0331
"3097174", 0.415, 1,    252.013,  -36.7,    1.0518, 2,    249.859, -158.2,    1.0428, 3,    249.915,   82.8,    1.0431
"3097838", 0.415, 1,    250.895,  -36.9,    1.0471, 2,    248.726, -158.4,    1.0381, 3,    248.454,   82.6,     1.037
"3097186", 0.415, 1,    253.603,  -36.4,    1.0584, 2,    250.886, -157.5,    1.0471, 3,    252.848,   83.3,    1.0553
"3097449", 0.415, 1,    253.677,  -36.4,    1.0588, 2,    251.199, -157.5,    1.0484, 3,    252.929,   83.3,    1.0556
"3097187", 0.415, 1,    253.378,  -36.5,    1.0575, 2,    250.677, -157.6,    1.0462, 3,    252.339,   83.3,    1.0532
"3097189", 0.415, 1,    252.226,  -36.6,    1.0527, 2,    250.214, -157.7,    1.0443, 3,    251.899,   83.0,    1.0513
"3097759", 0.415, 1,    251.101,  -36.8,     1.048, 2,    249.172, -157.8,    1.0399, 3,    250.991,   82.8,    1.0475
"3097190", 0.415, 1,    253.105,  -36.5,    1.0564, 2,    250.959, -157.9,    1.0474, 3,    251.302,   83.0,    1.0488
"3097210", 0.415, 1,    253.117,  -36.5,    1.0564, 2,    250.979, -157.9,    1.0475, 3,    251.338,   83.0,     1.049
"3097332", 0.415, 1,    254.287,  -36.2,    1.0613, 2,    252.263, -157.5,    1.0528, 3,    252.977,   83.3,    1.0558
"3097408", 0.415, 1,    256.017,  -35.8,    1.0685, 2,    254.143, -157.0,    1.0607, 3,    255.307,   83.7,    1.0656
