,Bus1,Bus2,C0,C1,CMatrix,EmergAmps,Geometry,Length,LineCode,Name,NormAmps,NumCust,Parent,Phases,R0,R1,Rg,Rho,RMatrix,Spacing,TotalCust,Units,X0,X1,Xg,XMatrix,Yprim,Idx,IsSwitch,SeasonRating
line_75610697_3105941_3104358,3104358.1.3,3105941.1.3,0.00010000000000000002,0.00010000000000000002,"[0.0001, 0.0, 0.0, 0.0001]",600.0,,0.038799999237060546,2p_code3,line_75610697_3105941_3104358,400.0,0,0,2,1e-05,0.164,0.01805,100.0,"[0.10933666666666667, -0.05466333333333333, -0.05466333333333333, 0.10933666666666667]",,32,3,1e-05,0.062,0.155081,"[0.04133666666666666, -0.020663333333333332, -0.020663333333333332, 0.04133666666666666]","[253.9625838554049, -90.0974004695315, 123.63181120742985, -30.971732878011824, -253.9625838554049, 90.09740046953222, -123.63181120742985, 30.971732878011824, 123.63181120742985, -30.971732878011824, 253.96258385540486, -90.09740046953145, -123.63181120742985, 30.971732878011824, -253.96258385540486, 90.09740046953218, -253.9625838554049, 90.09740046953222, -123.63181120742985, 30.971732878011824, 253.9625838554049, -90.0974004695315, 123.63181120742985, -30.971732878011824, -123.63181120742985, 30.971732878011824, -253.96258385540486, 90.09740046953218, 123.63181120742985, -30.971732878011824, 253.96258385540486, -90.09740046953145]",1,False,400.0
line_75610739_3105962_3104396,3104396.1.3,3105962.1.3,0.00010000000000000002,0.00010000000000000002,"[0.0001, 0.0, 0.0, 0.0001]",600.0,,0.015399999618530273,2p_code3,line_75610739_3105962_3104396,400.0,0,2,2,1e-05,0.164,0.01805,100.0,"[0.10933666666666667, -0.05466333333333333, -0.05466333333333333, 0.10933666666666667]",,4,3,1e-05,0.062,0.155081,"[0.04133666666666666, -0.020663333333333332, -0.020663333333333332, 0.04133666666666666]","[197.07496119663267, -69.9155813895788, 95.93828361049381, -24.034064240746034, -197.07496119663267, 69.91558138957974, -95.93828361049381, 24.034064240746034, 95.93828361049381, -24.034064240746034, 197.07496119663264, -69.9155813895788, -95.93828361049381, 24.034064240746034, -197.07496119663264, 69.91558138957974, -197.07496119663267, 69.91558138957974, -95.93828361049381, 24.034064240746034, 197.07496119663267, -69.9155813895788, 95.93828361049381, -24.034064240746034, -95.93828361049381, 24.034064240746034, -197.07496119663264, 69.91558138957974, 95.93828361049381, -24.034064240746034, 197.07496119663264, -69.9155813895788]",2,False,400.0
line_75610816_3105995_3104471,3104471.1.3,3105995.1.3,0.00010000000000000002,0.00010000000000000002,"[0.0001, 0.0, 0.0, 0.0001]",600.0,,0.014399999618530274,2p_code4,line_75610816_3105995_3104471,400.0,0,0,2,1e-05,1.29,0.01805,100.0,"[0.8600033333333333, -0.42999666666666664, -0.42999666666666664, 0.8600033333333333]",,0,3,1e-05,0.258,0.155081,"[0.1720033333333333, -0.08599666666666667, -0.08599666666666667, 0.1720033333333333]","[101.04824748505918, -23.09496820062956, 50.147241342664216, -10.878726726455037, -101.04824748505918, 23.09496820062983, -50.147241342664216, 10.878726726455037, 50.147241342664216, -10.878726726455037, 101.04824748505918, -23.094968200629555, -50.147241342664216, 10.878726726455037, -101.04824748505918, 23.094968200629825, -101.04824748505918, 23.09496820062983, -50.147241342664216, 10.878726726455037, 101.04824748505918, -23.09496820062956, 50.147241342664216, -10.878726726455037, -50.147241342664216, 10.878726726455037, -101.04824748505918, 23.094968200629825, 50.147241342664216, -10.878726726455037, 101.04824748505918, -23.094968200629555]",3,False,400.0
line_75610817_3105996_3104472,3104472.1.3,3105996.1.3,0.00010000000000000002,0.00010000000000000002,"[0.0001, 0.0, 0.0, 0.0001]",600.0,,0.021500000000000002,2p_code4,line_75610817_3105996_3104472,400.0,0,0,2,1e-05,1.29,0.01805,100.0,"[0.8600033333333333, -0.42999666666666664, -0.42999666666666664, 0.8600033333333333]",,0,3,1e-05,0.258,0.155081,"[0.1720033333333333, -0.08599666666666667, -0.08599666666666667, 0.1720033333333333]","[67.67882442967465, -15.468257361815327, 33.5869886606842, -7.286216777258027, -67.67882442967465, 15.468257361815732, -33.5869886606842, 7.286216777258027, 33.5869886606842, -7.286216777258027, 67.67882442967463, -15.468257361815327, -33.5869886606842, 7.286216777258027, -67.67882442967463, 15.468257361815732, -67.67882442967465, 15.468257361815732, -33.5869886606842, 7.286216777258027, 67.67882442967465, -15.468257361815327, 33.5869886606842, -7.286216777258027, -33.5869886606842, 7.286216777258027, -67.67882442967463, 15.468257361815732, 33.5869886606842, -7.286216777258027, 67.67882442967463, -15.468257361815327]",4,False,400.0
line_75610830_3104708_3104484,3104484.1.3,3104708.1.3,0.00010000000000000002,0.00010000000000000002,"[0.0001, 0.0, 0.0, 0.0001]",600.0,,0.039,2p_code3,line_75610830_3104708_3104484,400.0,0,0,2,1e-05,0.164,0.01805,100.0,"[0.10933666666666667, -0.05466333333333333, -0.05466333333333333, 0.10933666666666667]",,0,3,1e-05,0.062,0.155081,"[0.04133666666666666, -0.020663333333333332, -0.020663333333333332, 0.04133666666666666]","[252.6602066623496, -89.63536075587075, 122.9977995006331, -30.812902872751323, -252.6602066623496, 89.63536075587149, -122.9977995006331, 30.812902872751323, 122.9977995006331, -30.812902872751323, 252.6602066623496, -89.63536075587074, -122.9977995006331, 30.812902872751323, -252.6602066623496, 89.63536075587147, -252.6602066623496, 89.63536075587149, -122.9977995006331, 30.812902872751323, 252.6602066623496, -89.63536075587075, 122.9977995006331, -30.812902872751323, -122.9977995006331, 30.812902872751323, -252.6602066623496, 89.63536075587147, 122.9977995006331, -30.812902872751323, 252.6602066623496, -89.63536075587074]",5,False,400.0
line_75610890_3104484_3104539,3104539.1.3,3104484.1.3,0.00010000000000000002,0.00010000000000000002,"[0.0001, 0.0, 0.0, 0.0001]",600.0,,0.0060999999046325686,2p_code3,line_75610890_3104484_3104539,400.0,0,0,2,1e-05,0.164,0.01805,100.0,"[0.10933666666666667, -0.05466333333333333, -0.05466333333333333, 0.10933666666666667]",,0,3,1e-05,0.062,0.155081,"[0.04133666666666666, -0.020663333333333332, -0.020663333333333332, 0.04133666666666666]","[1615.3685596533085, -573.0785449396747, 786.3793861507658, -197.00052964339937, -1615.3685596533085, 573.0785449396748, -786.3793861507658, 197.00052964339937, 786.3793861507658, -197.00052964339937, 1615.3685596533087, -573.0785449396748, -786.3793861507658, 197.00052964339937, -1615.3685596533087, 573.0785449396749, -1615.3685596533085, 573.0785449396748, -786.3793861507658, 197.00052964339937, 1615.3685596533085, -573.0785449396747, 786.3793861507658, -197.00052964339937, -786.3793861507658, 197.00052964339937, -1615.3685596533087, 573.0785449396749, 786.3793861507658, -197.00052964339937, 1615.3685596533087, -573.0785449396748]",6,False,400.0
line_75610897_3106027_3104545,3104545.1.3,3106027.1.3,0.00010000000000000002,0.00010000000000000002,"[0.0001, 0.0, 0.0, 0.0001]",600.0,,0.046299999237060546,2p_code3,line_75610897_3106027_3104545,400.0,0,0,2,1e-05,0.164,0.01805,100.0,"[0.10933666666666667, -0.05466333333333333, -0.05466333333333333, 0.10933666666666667]",,0,3,1e-05,0.062,0.155081,"[0.04133666666666666, -0.020663333333333332, -0.020663333333333332, 0.04133666666666666]","[212.82393568473896, -75.50278892187913, 103.60505960192397, -25.95471343065175, -212.82393568473896, 75.50278892188, -103.60505960192397, 25.95471343065175, 103.60505960192397, -25.95471343065175, 212.8239356847389, -75.50278892187913, -103.60505960192397, 25.95471343065175, -212.8239356847389, 75.50278892188, -212.82393568473896, 75.50278892188, -103.60505960192397, 25.95471343065175, 212.82393568473896, -75.50278892187913, 103.60505960192397, -25.95471343065175, -103.60505960192397, 25.95471343065175, -212.8239356847389, 75.50278892188, 103.60505960192397, -25.95471343065175, 212.8239356847389, -75.50278892187913]",7,False,400.0
line_75610900_3106028_3104539,3104539.1.3,3106028.1.3,0.00010000000000000002,0.00010000000000000002,"[0.0001, 0.0, 0.0, 0.0001]",600.0,,0.049200000762939455,2p_code3,line_75610900_3106028_3104539,400.0,0,0,2,1e-05,0.164,0.01805,100.0,"[0.10933666666666667, -0.05466333333333333, -0.05466333333333333, 0.10933666666666667]",,0,3,1e-05,0.062,0.155081,"[0.04133666666666666, -0.020663333333333332, -0.020663333333333332, 0.04133666666666666]","[200.27942900468602, -71.05241900955788, 97.49825418982572, -24.424861654524598, -200.27942900468602, 71.0524190095588, -97.49825418982572, 24.424861654524598, 97.49825418982572, -24.424861654524598, 200.27942900468608, -71.05241900955787, -97.49825418982572, 24.424861654524598, -200.27942900468608, 71.05241900955879, -200.27942900468602, 71.0524190095588, -97.49825418982572, 24.424861654524598, 200.27942900468602, -71.05241900955788, 97.49825418982572, -24.424861654524598, -97.49825418982572, 24.424861654524598, -200.27942900468608, 71.05241900955879, 97.49825418982572, -24.424861654524598, 200.27942900468608, -71.05241900955787]",8,False,400.0
line_75610901_3106029_3104547,3104547.1.3,3106029.1.3,0.00010000000000000002,0.00010000000000000002,"[0.0001, 0.0, 0.0, 0.0001]",600.0,,0.015699999809265137,2p_code4,line_75610901_3106029_3104547,400.0,0,9,2,1e-05,0.164,0.01805,100.0,"[0.10933666666666667, -0.05466333333333333, -0.05466333333333333, 0.10933666666666667]",,21,3,1e-05,0.062,0.155081,"[0.04133666666666666, -0.020663333333333332, -0.020663333333333332, 0.04133666666666666]","[169.01797922439312, -59.96190592154761, 82.27983264664186, -20.612405278959148, -169.01797922439312, 59.96190592154871, -82.27983264664186, 20.612405278959148, 82.27983264664186, -20.612405278959148, 169.01797922439306, -59.96190592154762, -82.27983264664186, 20.612405278959148, -169.01797922439306, 59.96190592154872, -169.01797922439312, 59.96190592154871, -82.27983264664186, 20.612405278959148, 169.01797922439312, -59.96190592154761, 82.27983264664186, -20.612405278959148, -82.27983264664186, 20.612405278959148, -169.01797922439306, 59.96190592154872, 82.27983264664186, -20.612405278959148, 169.01797922439306, -59.96190592154762]",9,False,400.0
line_75610936_3105290_3104576,3104576.1.3,3105290.1.3,0.00010000000000000002,0.00010000000000000002,"[0.0001, 0.0, 0.0, 0.0001]",600.0,,0.0095,2p_code0,line_75610936_3105290_3104576,400.0,0,0,2,1e-05,0.1,0.01805,100.0,"[0.06667000000000001, -0.03333, -0.03333, 0.06667000000000001]",,0,3,1e-05,0.061,0.155081,"[0.04067, -0.020329999999999997, -0.020329999999999997, 0.04067]","[1397.8098081733485, -756.6889498150063, 712.4242568684016, -254.98672625978554, -1397.8098081733485, 756.6889498150065, -712.4242568684016, 254.98672625978554, 712.4242568684016, -254.98672625978554, 1397.8098081733483, -756.6889498150061, -712.4242568684016, 254.98672625978554, -1397.8098081733483, 756.6889498150064, -1397.8098081733485, 756.6889498150065, -712.4242568684016, 254.98672625978554, 1397.8098081733485, -756.6889498150063, 712.4242568684016, -254.98672625978554, -712.4242568684016, 254.98672625978554, -1397.8098081733483, 756.6889498150064, 712.4242568684016, -254.98672625978554, 1397.8098081733483, -756.6889498150061]",10,False,400.0
