Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"TRAFO_75612672_75612672", 22, 1,    12701.7,    0.0,         1, 2,    12701.7, -120.0,         1, 3,    12701.7,  120.0,         1
"3097596", 0.4, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"3102384", 0.4, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"3097174", 0.4, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"3097838", 0.4, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"3097186", 0.4, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"3097449", 0.4, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"3097187", 0.4, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"3097189", 0.4, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"3097759", 0.4, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"3097190", 0.4, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"3097210", 0.4, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"3097332", 0.4, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"3097408", 0.4, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"3097338", 0.4, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"3097343", 0.4, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"3098447", 0.4, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"3099086", 0.4, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"3097742", 0.4, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"3099104", 0.4, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"3097756", 0.4, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"3099120", 0.4, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"3099124", 0.4, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"3099125", 0.4, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"3099142", 0.4, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"3099157", 0.4, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"3099200", 0.4, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"3099290", 0.4, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"3099345", 0.4, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"3099346", 0.4, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"3099366", 0.4, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"3099387", 0.4, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"3099414", 0.4, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"3099501", 0.4, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"3099531", 0.4, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"3099538", 0.4, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"3099539", 0.4, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"3099542", 0.4, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"3099543", 0.4, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"3099546", 0.4, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"3099563", 0.4, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"3097365", 0.4, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"3099668", 0.4, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"3099803", 0.4, 2,          0,    0.0,         0, 3,          0,    0.0,         0, 0, 0, 0, 0
"3099965", 0.4, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"3100015", 0.4, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"3100084", 0.4, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"3100137", 0.4, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"3100190", 0.4, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"3100286", 0.4, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"3100319", 0.4, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"3100358", 0.4, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"3098774", 0.4, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"3100498", 0.4, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"3100580", 0.4, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"3100604", 0.4, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"3100619", 0.4, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"3100772", 0.4, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"3100817", 0.4, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"3100829", 0.4, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"3100861", 0.4, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"3098562", 0.4, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"3100868", 0.4, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"3100950", 0.4, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"3101027", 0.4, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"3098457", 0.4, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"3101128", 0.4, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"3101179", 0.4, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"3101202", 0.4, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"3101348", 0.4, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"3101349", 0.4, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"3101477", 0.4, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"3101502", 0.4, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"3098762", 0.4, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"3101599", 0.4, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"3101600", 0.4, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"3098766", 0.4, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"3101601", 0.4, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"3102604", 0.4, 2,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0
"3102607", 0.4, 2,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0
"3102608", 0.4, 3,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0
"3102628", 0.4, 2,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0
"3102629", 0.4, 1,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0
"3102630", 0.4, 3,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0
"3102642", 0.4, 2,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0
"3102643", 0.4, 2,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0
"3102644", 0.4, 3,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0
"3102645", 0.4, 1,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0
"3102646", 0.4, 1,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0
"3102647", 0.4, 1,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0
"3102734", 0.4, 1,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0
"3102735", 0.4, 2,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0
"3102736", 0.4, 1,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0
"3102737", 0.4, 3,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0
"3102738", 0.4, 3,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0
"3102739", 0.4, 3,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0
"3102740", 0.4, 2,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0
"3102903", 0.4, 2,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0
"3102909", 0.4, 3,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0
"3103007", 0.4, 3,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0
"3103127", 0.4, 3,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0
"3103128", 0.4, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"3103129", 0.4, 1,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0
"3103130", 0.4, 3,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0
"3103131", 0.4, 1,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0
"3103132", 0.4, 2,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0
"3103169", 0.4, 3,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0
"3103184", 0.4, 2,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0
"SOURCEBUS_22000", 0.4, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
